transcript,average read density,Spearman's coefficient,Pearson's coefficient
YNL151C,4.56423611111,0.42631224094,0.288107514457
YNR066C,0.170645446508,0.22981815642,0.137467505372
YLR220W,3.41571609632,0.600047135416,0.613300574247
YHR006W,1.44536652835,0.521214129105,0.527371713439
YMR232W,0.0291262135922,0.062026572414,0.110915646918
YNL083W,0.433716475096,0.446192669122,0.513370857086
YGR038C-A,271.155730534,0.674531373831,0.611296276914
YGR038C-B,93.6812106918,0.413487963482,0.319417322862
YER168C,2.14305270363,0.52344067727,0.521977269088
YPL265W,8.21372191864,0.655070382224,0.579960581923
YOR227W,0.363661892727,0.400689111305,0.45070567159
YOR081C,0.741062801932,0.447666432713,0.468766919147
YEL026W,37.5671641791,0.60617005676,0.69419046286
YGR050C,0.553672316384,0.129904162363,-0.0108260199836
YDR021W,1.51078431373,0.469093044349,0.0436427839247
YGL063W,0.151125401929,0.333035478077,0.285126267548
